PostCode,Borough,Neighbourhood,Latitude,Longitude,Neighborhood
M3A,North York,,43.7532586,-79.3296565,Parkwoods
M4A,North York,,43.725882299999995,-79.31557159999998,Victoria Village
M5A,Downtown Toronto,,43.6542599,-79.3606359,Harbourfront
M6A,North York,,43.718517999999996,-79.46476329999999,"Lawrence Heights, Lawrence Manor"
M7A,Downtown Toronto,,43.6623015,-79.3894938,Queen's Park
M9A,Etobicoke,,43.6678556,-79.53224240000002,Islington Avenue
M1B,Scarborough,,43.806686299999996,-79.19435340000001,"Rouge, Malvern"
M3B,North York,,43.745905799999996,-79.352188,Don Mills North
M4B,East York,,43.7063972,-79.309937,"Woodbine Gardens, Parkview Hill"
M5B,Downtown Toronto,,43.6571618,-79.37893709999999,"Ryerson, Garden District"
M6B,North York,,43.709577,-79.44507259999999,Glencairn
M9B,Etobicoke,,43.6509432,-79.55472440000001,"Cloverdale, Islington, Martin Grove, Princess Gardens, West Deane Park"
M1C,Scarborough,,43.7845351,-79.16049709999999,"Highland Creek, Rouge Hill, Port Union"
M3C,North York,,43.72589970000001,-79.340923,"Flemingdon Park, Don Mills South"
M4C,East York,,43.695343900000005,-79.3183887,Woodbine Heights
M5C,Downtown Toronto,,43.6514939,-79.3754179,St. James Town
M6C,York,,43.6937813,-79.42819140000002,Humewood-Cedarvale
M9C,Etobicoke,,43.6435152,-79.57720079999999,"Bloordale Gardens, Eringate, Markland Wood, Old Burnhamthorpe"
M1E,Scarborough,,43.7635726,-79.1887115,"Guildwood, Morningside, West Hill"
M4E,East Toronto,,43.67635739999999,-79.2930312,The Beaches
M5E,Downtown Toronto,,43.644770799999996,-79.3733064,Berczy Park
M6E,York,,43.6890256,-79.453512,Caledonia-Fairbanks
M1G,Scarborough,,43.7709921,-79.21691740000001,Woburn
M4G,East York,,43.7090604,-79.3634517,Leaside
M5G,Downtown Toronto,,43.6579524,-79.3873826,Central Bay Street
M6G,Downtown Toronto,,43.669542,-79.4225637,Christie
M1H,Scarborough,,43.773136,-79.23947609999999,Cedarbrae
M2H,North York,,43.8037622,-79.3634517,Hillcrest Village
M3H,North York,,43.7543283,-79.4422593,"Bathurst Manor, Downsview North, Wilson Heights"
M4H,East York,,43.7053689,-79.34937190000001,Thorncliffe Park
M5H,Downtown Toronto,,43.65057120000001,-79.3845675,"Adelaide, King, Richmond"
M6H,West Toronto,,43.66900510000001,-79.4422593,"Dovercourt Village, Dufferin"
M1J,Scarborough,,43.7447342,-79.23947609999999,Scarborough Village
M2J,North York,,43.7785175,-79.3465557,"Fairview, Henry Farm, Oriole"
M3J,North York,,43.7679803,-79.48726190000001,"Northwood Park, York University"
M4J,East York,,43.685347,-79.3381065,East Toronto
M5J,Downtown Toronto,,43.6408157,-79.38175229999999,"Harbourfront East, Toronto Islands, Union Station"
M6J,West Toronto,,43.647926700000006,-79.4197497,"Little Portugal, Trinity"
M1K,Scarborough,,43.7279292,-79.26202940000002,"East Birchmount Park, Ionview, Kennedy Park"
M2K,North York,,43.7869473,-79.385975,Bayview Village
M3K,North York,,43.737473200000004,-79.46476329999999,"CFB Toronto, Downsview East"
M4K,East Toronto,,43.6795571,-79.352188,"The Danforth West, Riverdale"
